AT5G59170	AT1G05170
AT1G29600	AT3G21700
AT3G28750	AT5G65460
AT1G11100	AT1G15960
AT1G61430	AT5G02270
AT5G58460	AT5G10230
AT1G21550	AT3G51240
AT5G51930	AT1G56670
AT2G40370	AT4G34050
AT4G39130	AT4G11660
AT2G03740	AT4G26850
AT3G10040	AT5G10930
AT1G73690	AT2G29450
AT3G10600	AT1G36160
AT3G48450	AT1G10960
AT5G58910	AT5G52060
ATMG01020	AT2G25530
AT4G25380	AT2G46420
AT2G12480	AT5G02230
AT4G22030	AT3G44100
AT2G17940	AT5G17050
AT2G12170	AT1G02205
AT3G13784	AT1G78510
AT1G53260	AT5G24850
AT1G66550	AT2G30150
AT3G05310	AT4G31920
AT1G10880	AT5G66460
AT5G62730	AT3G20100
AT2G25780	AT5G37550
AT1G76290	AT5G57610
AT1G27820	AT5G58770
AT4G09300	AT5G11260
AT4G07940	AT1G73630
AT2G18200	AT5G15910
AT2G19150	AT1G08250
AT1G63540	AT5G19970
AT4G22620	AT4G14690
AT1G78780	AT2G41870
AT1G67623	AT3G21670
AT1G09930	AT5G47920
AT3G44950	AT1G15100
AT1G79640	AT4G24790
AT5G55980	AT1G48850
AT2G04670	AT5G01840
AT3G46800	AT3G44720
AT1G55050	AT4G24960
AT1G64360	AT5G19875
AT1G61400	AT2G15310
AT2G23270	AT5G35460
AT3G12690	AT1G06690
AT3G02670	AT4G34650
AT3G05660	AT4G34630
AT4G23780	AT4G23490
AT2G33320	AT4G23493
AT1G60450	AT1G67360
AT5G41170	AT1G53090
AT4G26260	AT1G06430
AT3G44830	AT4G35560
AT4G18250	AT5G59510
AT2G26820	AT1G79270
AT4G31950	AT5G16600
AT5G56970	AT1G12370
AT2G13970	AT1G06180
AT2G26940	AT4G33080
AT5G43640	AT3G57010
AT2G31480	AT2G24540
AT1G28360	AT3G54390
AT1G07540	AT1G51140
AT3G22860	AT4G30490
AT3G22490	AT5G55120
AT5G15060	AT3G24500
AT3G50350	AT1G10650
AT2G32460	AT5G62130
AT1G80730	AT4G25830
AT3G04200	AT3G57070
AT1G10000	AT2G21970
AT5G67080	AT3G24190
AT4G11480	AT1G16310
AT3G47100	AT3G56300
AT1G65630	AT3G24750
AT2G43890	AT4G17880
AT2G42050	AT5G03190
AT2G12300	AT3G14720
AT3G13900	AT2G37900
AT1G51260	AT3G57540
AT2G04070	AT5G04830
AT2G37910	AT5G37300
AT5G61320	AT5G23730
AT3G49130	AT3G11420
AT5G19100	AT3G15090
AT5G60350	AT5G19240
AT4G38010	AT4G11570
AT3G18420	AT3G48460
AT5G08400	AT3G29200
AT5G63420	AT3G22840
AT1G10460	AT2G26170
AT2G20310	AT3G21390
AT3G13180	AT1G19700
AT5G57080	AT1G78440
AT2G36730	AT1G73990
AT3G13160	AT5G25220
AT3G12530	AT5G53760
AT3G53220	AT1G56650
AT1G31790	AT5G67430
AT1G62730	AT3G03900
AT5G61400	AT5G59050
AT5G16970	AT5G42760
AT3G23330	AT4G15630
AT2G21710	AT5G44110
AT1G72420	AT4G12000
AT5G52850	AT3G56260
AT4G32900	AT2G37870
AT5G65205	AT1G17050
AT5G19020	AT4G21470
AT1G14990	AT3G52950
AT5G04150	AT2G28320
AT4G37170	AT3G56290
AT5G38730	AT1G70000
AT5G39350	AT1G60270
